Time,CD,CL
0.0004368,-1.4884137064818068,-9.407433754024949e-05
0.00064416,-0.04489500687164551,5.539395948255885e-06
0.000892992,1.7392934076766353,4.711635774027141e-06
0.0011915904,2.256473751383688,4.770428279098433e-06
0.00154990848,2.306664206035283,3.2338072898430666e-06
0.00197989018,2.26452866037672,3.0909533154450704e-06
0.00249586821,2.202266029828824,2.429824875186942e-07
0.00311504185,2.1549414894091097,3.9310336940843244e-07
0.00385805022,2.114415428849503,5.921302709843655e-07
0.00474966027,2.0618274909492142,-1.874687605989116e-06
0.00574966027,1.9991752915770205,3.433652358819325e-07
0.00674966027,1.9648915432860192,1.597878677368668e-06
0.00774966027,2.0153583722667165,2.065959368882587e-06
0.00874966027,2.0321955409170394,-2.7778493496179153e-06
0.00974966027,2.016676943445734,-1.2614155268484372e-06
0.0107496603,2.0358740442976035,6.707292727463945e-07
0.0117496603,2.066776865059064,1.0621118155894555e-06
0.0127496603,2.099008410947574,-7.432961660362459e-07
0.0137496603,2.0896960933224715,1.4323372753791885e-07
0.0147496603,2.076101814123326,2.358814816087672e-06
0.0157496603,2.0792341043064093,-2.074671761253545e-06
0.0167496603,2.0864602335824713,2.89838479331142e-06
0.0177496603,2.0923867282322135,-1.8790938581660285e-07
0.0187496603,2.1355821038197793,-1.7160144033745038e-06
0.0197496603,2.1331812436163213,1.1832973815777513e-06
0.0207496603,2.1344904792504824,1.4990102840413833e-06
0.0217496603,2.1343371002458107,4.606779816791771e-07
0.0227496603,2.1153306826993177,6.3869511905059e-07
0.0237496603,2.1257072638016687,-1.3543142796759722e-06
0.0247496603,2.1162386519810124,3.8150274439528625e-06
0.0257496603,2.1200677787116247,-3.8683536314552026e-07
0.0267496603,2.12467431617769,6.531239736515622e-07
0.0277496603,2.115837854299725,1.3398116513562365e-06
0.0287496603,2.1238439587006086,-8.028637313391599e-07
0.0297496603,2.114796656735015,2.3081316499346703e-06
0.0307496603,2.1238830034616694,4.1147012682062955e-07
0.0317496603,2.120919289671498,9.117736960795524e-07
0.0327496603,2.1113474050402763,6.58503266259775e-07
0.0337496603,2.104171027190682,1.6308266558259255e-06
0.0347496603,2.1010574785071685,1.5498208605064876e-06
0.0357496603,2.089677569469573,4.697730863403096e-07
0.0367496603,2.08107246649293,2.3668013933353063e-06
0.0377496603,2.084667579826061,-2.3797190012139021e-07
0.0387496603,2.0847706123072864,1.0158522365735534e-06
0.0397496603,2.0782090260088664,5.600266996582893e-07
0.0407496603,2.0658424860650872,1.1844374702050442e-06
0.0417496603,2.056816943686375,4.074895293323898e-07
0.0427496603,2.0471891913739904,8.183137619407095e-07
0.0437496603,2.0345613329566263,1.0510630018663069e-06
0.0447496603,2.02457364434288,1.1512288259200965e-06
0.0457496603,2.009917238917578,1.1541246661636967e-06
0.0467496603,2.004165615569313,-2.8127488360092047e-08
0.0477496603,1.9934433475163147,5.572047966536602e-07
0.0487496603,1.982063761651049,5.097280392325504e-07
0.0497496603,1.9737295480756718,4.258181494729956e-07
0.0507496603,1.964565291906788,2.7011848327810473e-07
0.0517496603,1.9417587215085175,9.008008636348243e-07
0.0527496603,1.9314549533779801,3.263106929934171e-07
0.0537496603,1.9204386231040587,2.9576039131837553e-07
0.0547496603,1.907346900673974,3.5061979004048127e-07
0.0557496603,1.8969352486893962,3.7047733132828644e-07
0.0567496603,1.886000757262465,3.8059176484088263e-07
0.0577496603,1.8754166217172519,4.7411164853538586e-07
0.0587496603,1.8652752560155865,-1.878891466771004e-08
0.0597496603,1.8515437501002674,2.6781919125812615e-07
0.0607496603,1.8397162619585348,3.678966399926203e-07
0.0617496603,1.826392701884667,2.497027530209394e-07
0.0627496603,1.8060860588929433,4.4541889447166764e-07
0.0637496603,1.7936922656554977,3.645455697717117e-07
0.0647496603,1.78434943787979,3.7217610214598553e-07
0.0657496603,1.770992491546361,6.785382426680167e-08
0.0667496603,1.7576802889834422,5.026887473373488e-07
0.0677496603,1.7469374301026201,3.5584158710947046e-07
0.0687496603,1.736751029454493,5.521764739278541e-07
0.0697496603,1.7269740933171245,5.97782913310315e-08
0.0707496603,1.7152192053490103,1.031618099654457e-06
0.0717496603,1.705919111917804,1.7767062509068612e-07
0.0727496603,1.6921770320373761,3.8930337195967565e-07
0.0737496603,1.6814474155839296,4.63602544487443e-07
0.0747496603,1.6727387876715016,3.2015540649704723e-07
0.0757496603,1.6597795026256639,5.240071911148109e-07
0.0767496603,1.6476475595587174,3.927160373243542e-07
0.0777496603,1.6377065143555896,4.26520525464304e-07
0.0787496603,1.6260459416159687,6.061436493121225e-07
0.0797496603,1.6154456181584347,1.7770406952705969e-07
0.0807496603,1.6041632546777993,6.932218746735746e-07
0.0817496603,1.5957314938832552,1.8240542467393107e-07
0.0827496603,1.588406804836355,6.443794506471469e-07
0.0837496603,1.5791955094955268,3.982222349781908e-07
0.0847496603,1.573541976435871,5.718827896652592e-07
0.0857496603,1.5650837425690862,5.621889322612617e-07
0.0867496603,1.5563326572234275,6.551816415300508e-07
0.0877496603,1.546682333048426,3.768365648145012e-07
0.0887496603,1.5378977951554453,4.345928986846725e-07
0.0897496603,1.5293002221787484,4.944051085648689e-07
0.0907496603,1.5215507119060394,6.705388202249194e-07
0.0917496603,1.5139301511494632,3.4454133853593847e-07
0.0927496603,1.5065271598490912,4.137883707070041e-07
0.0937496603,1.499292593738692,5.549453511179125e-07
0.0947496603,1.4908391746182272,5.829034444546445e-07
0.0957496603,1.4848194765383662,5.478219592701262e-07
0.0967496603,1.4782972626875888,7.308499362523417e-07
0.0977496603,1.471437141420871,4.844623575581863e-07
0.0987496603,1.465661975720186,9.71001587760093e-07
0.0997496603,1.459355241322208,1.6366683499672907e-07
0.10074966,1.450986836079615,8.611701266307905e-07
0.10174966,1.4445813807776189,5.381829233058409e-07
0.10274966,1.438615027356903,5.970408248024514e-07
0.10374966,1.4320777616358975,8.435800045142523e-07
0.10474966,1.4258348488362766,4.56214427006369e-07
0.10574966,1.4233336697840113,1.087369657589737e-06
0.10674966,1.4182106740184064,3.516840377022501e-07
0.10774966,1.4128497591359017,7.303969426926156e-07
0.10874966,1.4074736927875353,1.1505471366717707e-06
0.10974966,1.4038682750520945,3.5878638994850276e-07
0.11074966,1.3988593464717531,9.17703111616557e-07
0.11174966,1.394040937204212,5.515158853371029e-07
0.11274966,1.388873530916166,7.166473035832378e-07
0.11374966,1.3849572737437188,9.003454523031153e-07
0.11474966,1.380951958249629,2.265499029413495e-07
0.11574966,1.376049857959255,7.865920306068973e-07
0.11674966,1.3718412317803357,8.312890281256183e-07
0.11774966,1.3673277221698357,7.995906237020968e-07
0.11874966,1.36412653856232,5.139785968652462e-07
0.11974966,1.36142579752086,8.489905048832356e-07
0.12074966,1.3575489791150106,6.943326554230742e-07
0.12174966,1.3530663774351563,5.831159813351492e-07
0.12274966,1.3505090715480008,9.771598801650976e-07
0.12374966,1.3477621749025404,6.832760804793575e-07
0.12474966,1.3442722834763219,6.918964605633501e-07
0.12574966,1.3426936644230583,8.205128433817408e-07
