Time,U,V,W
0.09274966,0.031282446,0.0349745,-2.1039149e-08
0.09374966,0.024118536,0.035443962,-2.391614e-08
0.09474966,0.016819146,0.035908971,-2.5962097e-08
0.09574966,0.0093689942,0.036393533,-2.828545e-08
0.09674966,0.0018245127,0.036882599,-2.9346461e-08
0.09774966,-0.0057740369,0.037364568,-2.9780923e-08
0.09874966,-0.013403601,0.037833554,-3.1443786e-08
0.09974966,-0.021043976,0.038286296,-3.0731901e-08
0.10074966,-0.028689309,0.038720616,-3.3215465e-08
0.10174966,-0.036322729,0.03913219,-3.4098127e-08
0.10274966,-0.043901673,0.039509118,-3.603641e-08
0.10374966,-0.051249831,0.039778112,-3.5608121e-08
0.10474966,-0.058658179,0.040234462,-3.6042535e-08
0.10574966,-0.066334547,0.04062677,-3.744472e-08
0.10674966,-0.074108426,0.04098015,-3.8794721e-08
0.10774966,-0.081888041,0.041310642,-4.0696557e-08
0.10874966,-0.089628599,0.041630977,-4.0436625e-08
0.10974966,-0.097405414,0.041896939,-4.189906e-08
0.11074966,-0.10516284,0.042127389,-4.3394531e-08
0.11174966,-0.11287841,0.042328816,-4.5150668e-08
0.11274966,-0.12054071,0.042503149,-4.6502307e-08
0.11374966,-0.12814107,0.042650789,-4.7932059e-08
0.11474966,-0.13566621,0.042770699,-4.7067411e-08
0.11574966,-0.14311594,0.042861494,-4.8044215e-08
0.11674966,-0.15050147,0.042917967,-4.9284242e-08
0.11774966,-0.15789116,0.042915289,-5.0191484e-08
0.11874966,-0.16503487,0.042951393,-5.1415919e-08
0.11974966,-0.17200098,0.042971964,-5.2673129e-08
0.12074966,-0.17882851,0.042970312,-5.1737221e-08
0.12174966,-0.18553474,0.042945645,-5.3976371e-08
0.12274966,-0.19212558,0.042898258,-5.4094274e-08
0.12374966,-0.1986011,0.042828973,-5.4845045e-08
0.12474966,-0.20495479,0.042743178,-5.5462017e-08
0.12574966,-0.21120493,0.04262695,-5.6329259e-08
0.12674966,-0.2173529,0.042484245,-5.6248987e-08
0.12774966,-0.2233589,0.042326388,-5.7821329e-08
0.12874966,-0.22923515,0.042152835,-5.7920899e-08
0.12974966,-0.23498756,0.041963412,-5.8736711e-08
0.13074966,-0.24062205,0.041758688,-5.7824172e-08
0.13174966,-0.24614406,0.041538635,-5.8592024e-08
0.13274966,-0.25159519,0.041293931,-5.9545499e-08
0.13374966,-0.25687052,0.041054257,-6.0222029e-08
0.13474966,-0.26201402,0.040811073,-6.0127149e-08
0.13574966,-0.2670175,0.040563935,-6.0657e-08
0.13674966,-0.27189229,0.040311975,-6.0563502e-08
0.13774966,-0.27664673,0.040055084,-6.2889889e-08
0.13874966,-0.28128381,0.039794027,-6.3184652e-08
0.13974966,-0.28580613,0.039530104,-6.3270313e-08
0.14074966,-0.29021696,0.039264682,-6.3933942e-08
0.14174966,-0.2945189,0.038998933,-6.529365e-08
0.14274966,-0.29871336,0.03873383,-6.5884286e-08
0.14374966,-0.30280153,0.038470193,-6.6852225e-08
0.14474966,-0.30678476,0.038208845,-6.7955864e-08
0.14574966,-0.31066296,0.037949914,-6.9090364e-08
0.14674966,-0.31444017,0.037694084,-6.9750666e-08
0.14774966,-0.31811842,0.037441458,-7.1260633e-08
0.14874966,-0.32170108,0.037191613,-7.2301642e-08
0.14974966,-0.32520152,0.036941886,-7.3460702e-08
0.15074966,-0.32858134,0.036700321,-7.5628464e-08
0.15174966,-0.33185616,0.036463597,-7.6234028e-08
0.15274966,-0.33503428,0.036230171,-7.7371928e-08
0.15374966,-0.33811865,0.035999279,-7.8745379e-08
0.15474966,-0.34109918,0.035771875,-8.0307629e-08
0.15574966,-0.34398275,0.035546621,-8.1081828e-08
0.15674966,-0.34677153,0.035322813,-8.2022578e-08
0.15774966,-0.34947074,0.035100166,-8.37688e-08
0.15874966,-0.35208301,0.034878421,-8.505117e-08
0.15974966,-0.354608,0.034657267,-8.5601352e-08
0.16074966,-0.35704503,0.034436319,-8.7368543e-08
0.16174966,-0.35939446,0.034215996,-8.7832498e-08
0.16274966,-0.36165142,0.033998221,-8.8436505e-08
0.16374966,-0.36382105,0.033781476,-8.9436767e-08
0.16474966,-0.36590551,0.033564993,-9.0255067e-08
0.16574966,-0.36790714,0.033348431,-9.0969803e-08
0.16674966,-0.36982887,0.033131699,-9.1738322e-08
0.16774966,-0.37167462,0.032913674,-9.2872177e-08
0.16874966,-0.373437,0.032696066,-9.3432268e-08
0.16974966,-0.37512144,0.032478338,-9.4031049e-08
0.17074966,-0.37673001,0.03225995,-9.5138499e-08
0.17174966,-0.37827046,0.032040566,-9.5310819e-08
0.17274966,-0.37974374,0.031820005,-9.6122703e-08
0.17374966,-0.38115414,0.031598161,-9.6286135e-08
0.17474966,-0.38250188,0.031375158,-9.714045e-08
0.17574966,-0.38378882,0.031151161,-9.8022198e-08
0.17674966,-0.38501802,0.030926362,-9.8638536e-08
0.17774966,-0.38619076,0.030700945,-9.9292006e-08
0.17874966,-0.38730956,0.03047532,-9.9464395e-08
0.17974966,-0.38837719,0.030250048,-1.0053715e-07
0.18074966,-0.38939589,0.030025821,-1.0138202e-07
0.18174966,-0.39037015,0.029803591,-1.0110025e-07
0.18274966,-0.39129981,0.029583557,-1.015161e-07
0.18374966,-0.3921836,0.029366125,-1.0322061e-07
0.18474966,-0.39302444,0.029152738,-1.0350951e-07
0.18574966,-0.39382447,0.028944498,-1.0377259e-07
0.18674966,-0.39458572,0.028742268,-1.0434372e-07
0.18774966,-0.39531014,0.028546304,-1.0526347e-07
0.18874966,-0.39599456,0.028357621,-1.0626202e-07
0.18974966,-0.39664159,0.028176461,-1.0634337e-07
0.19074966,-0.39725332,0.028002967,-1.0680537e-07
0.19174966,-0.39783089,0.027837152,-1.0754991e-07
0.19274966,-0.39837476,0.027678852,-1.0786878e-07
0.19374966,-0.39888584,0.027527745,-1.0827787e-07
0.19474966,-0.39936583,0.027383346,-1.0838483e-07
0.19574966,-0.39981613,0.02724508,-1.0934106e-07
0.19674966,-0.40023612,0.027112193,-1.0954033e-07
0.19774966,-0.40062655,0.026983797,-1.1095706e-07
0.19874966,-0.40098861,0.026858921,-1.1061209e-07
0.19974966,-0.40132527,0.026736674,-1.1107391e-07
0.20074966,-0.4016386,0.026616144,-1.1162686e-07
0.20174966,-0.40192902,0.026496463,-1.122186e-07
0.20274966,-0.40220215,0.026376192,-1.1303625e-07
0.20374966,-0.40245714,0.02625537,-1.131099e-07
0.20474966,-0.40269635,0.026133135,-1.1375606e-07
0.20574966,-0.40292149,0.026008853,-1.1364416e-07
0.20674966,-0.40313461,0.025882079,-1.1393855e-07
0.20774966,-0.40333645,0.025752411,-1.1490798e-07
0.20874966,-0.40352662,0.025619543,-1.1502095e-07
0.20974966,-0.40370826,0.025483273,-1.1564472e-07
0.21074966,-0.40388193,0.025343795,-1.164017e-07
0.21174966,-0.40404673,0.025200792,-1.1717813e-07
0.21274966,-0.40420437,0.02505415,-1.1735606e-07
