"shear_lam","shear_tot","shear_turb","y_plus","Points:0","Points:1","Points:2"
5.9081e-05,0.001801,0.0017419,92.619,900,2.6255,0
5.8803e-05,0.0017992,0.0017404,93.554,900,2.652,0
5.8524e-05,0.0017974,0.0017389,94.488,900,2.6785,0
5.8257e-05,0.0017955,0.0017372,95.422,900,2.705,0
5.7993e-05,0.0017936,0.0017356,96.356,900,2.7315,0
5.7729e-05,0.0017916,0.0017339,97.291,900,2.758,0
5.7466e-05,0.0017896,0.0017321,98.225,900,2.7844,0
5.7201e-05,0.0017876,0.0017304,99.159,900,2.8109,0
5.6918e-05,0.0017856,0.0017287,100.09,900,2.8374,0
5.6634e-05,0.0017835,0.0017269,101.03,900,2.8639,0
5.6341e-05,0.0017815,0.0017252,101.96,900,2.8904,0
5.6042e-05,0.0017795,0.0017234,102.9,900,2.9169,0
5.5743e-05,0.0017775,0.0017217,103.83,900,2.9433,0
5.5449e-05,0.0017754,0.00172,104.76,900,2.9698,0
5.5154e-05,0.0017734,0.0017182,105.7,900,2.9963,0
5.4862e-05,0.0017713,0.0017164,106.63,900,3.0228,0
5.4571e-05,0.0017692,0.0017146,107.57,900,3.0493,0
5.428e-05,0.0017671,0.0017128,108.5,900,3.0758,0
5.4003e-05,0.0017648,0.0017108,109.44,900,3.1023,0
5.3728e-05,0.0017625,0.0017088,110.37,900,3.1287,0
5.3463e-05,0.0017601,0.0017067,111.3,900,3.1552,0
5.3236e-05,0.0017576,0.0017044,112.24,900,3.1817,0
5.301e-05,0.0017551,0.0017021,113.17,900,3.2082,0
5.2797e-05,0.0017524,0.0016996,114.11,900,3.2347,0
5.2598e-05,0.0017496,0.001697,115.04,900,3.2612,0
5.24e-05,0.0017468,0.0016944,115.98,900,3.2876,0
5.2203e-05,0.0017439,0.0016917,116.91,900,3.3141,0
5.2006e-05,0.0017409,0.0016889,117.84,900,3.3406,0
5.1809e-05,0.0017379,0.0016861,118.78,900,3.3671,0
5.1611e-05,0.0017348,0.0016832,119.71,900,3.3936,0
5.1413e-05,0.0017317,0.0016802,120.65,900,3.4201,0
5.1216e-05,0.0017285,0.0016773,121.58,900,3.4465,0
5.1013e-05,0.0017253,0.0016743,122.52,900,3.473,0
5.0811e-05,0.0017221,0.0016713,123.45,900,3.4995,0
5.0609e-05,0.0017189,0.0016683,124.38,900,3.526,0
5.0414e-05,0.0017157,0.0016653,125.32,900,3.5525,0
5.0219e-05,0.0017125,0.0016622,126.25,900,3.579,0
5.0025e-05,0.0017092,0.0016592,127.19,900,3.6055,0
4.9848e-05,0.001706,0.0016561,128.12,900,3.6319,0
4.9672e-05,0.0017027,0.001653,129.06,900,3.6584,0
4.9495e-05,0.0016994,0.0016499,129.99,900,3.6849,0
4.9321e-05,0.0016961,0.0016468,130.92,900,3.7114,0
4.9147e-05,0.0016928,0.0016437,131.86,900,3.7379,0
4.8972e-05,0.0016895,0.0016405,132.79,900,3.7644,0
4.88e-05,0.0016862,0.0016374,133.73,900,3.7908,0
4.8629e-05,0.0016829,0.0016343,134.66,900,3.8173,0
4.8457e-05,0.0016796,0.0016312,135.6,900,3.8438,0
4.8287e-05,0.0016763,0.0016281,136.53,900,3.8703,0
4.8117e-05,0.0016731,0.001625,137.46,900,3.8968,0
4.7947e-05,0.0016698,0.0016219,138.4,900,3.9233,0
4.7776e-05,0.0016666,0.0016188,139.33,900,3.9498,0
4.7603e-05,0.0016634,0.0016158,140.27,900,3.9762,0
4.743e-05,0.0016601,0.0016127,141.2,900,4.0027,0
4.7258e-05,0.0016569,0.0016097,142.14,900,4.0292,0
4.7098e-05,0.0016537,0.0016066,143.07,900,4.0557,0
4.6938e-05,0.0016505,0.0016036,144,900,4.0822,0
4.6778e-05,0.0016474,0.0016006,144.94,900,4.1087,0
4.6636e-05,0.0016442,0.0015975,145.87,900,4.1351,0
4.6501e-05,0.0016409,0.0015944,146.81,900,4.1616,0
4.6366e-05,0.0016377,0.0015914,147.74,900,4.1881,0
4.6235e-05,0.0016345,0.0015883,148.68,900,4.2146,0
4.6114e-05,0.0016313,0.0015852,149.61,900,4.2411,0
4.5993e-05,0.001628,0.001582,150.54,900,4.2676,0
4.5872e-05,0.0016248,0.0015789,151.48,900,4.294,0
4.5746e-05,0.0016215,0.0015758,152.41,900,4.3205,0
4.5619e-05,0.0016183,0.0015727,153.35,900,4.347,0
4.5493e-05,0.001615,0.0015695,154.28,900,4.3735,0
4.5363e-05,0.0016118,0.0015664,155.22,900,4.4,0
4.5223e-05,0.0016085,0.0015633,156.15,900,4.4265,0
4.5084e-05,0.0016052,0.0015602,157.08,900,4.453,0
4.4945e-05,0.001602,0.001557,158.02,900,4.4794,0
4.481e-05,0.0015987,0.0015539,158.95,900,4.5059,0
4.4678e-05,0.0015954,0.0015507,159.89,900,4.5324,0
4.4546e-05,0.0015921,0.0015476,160.82,900,4.5589,0
4.4415e-05,0.0015888,0.0015444,161.76,900,4.5854,0
4.4305e-05,0.0015855,0.0015412,162.69,900,4.6119,0
4.4197e-05,0.0015823,0.0015381,163.62,900,4.6383,0
4.4089e-05,0.001579,0.0015349,164.56,900,4.6648,0
4.3984e-05,0.0015757,0.0015317,165.49,900,4.6913,0
4.3895e-05,0.0015724,0.0015285,166.43,900,4.7178,0
4.3805e-05,0.0015692,0.0015254,167.36,900,4.7443,0
4.3716e-05,0.0015659,0.0015222,168.3,900,4.7708,0
4.3625e-05,0.0015627,0.0015191,169.23,900,4.7973,0
4.3529e-05,0.0015595,0.001516,170.16,900,4.8237,0
4.3433e-05,0.0015564,0.0015129,171.1,900,4.8502,0
4.3338e-05,0.0015532,0.0015098,172.03,900,4.8767,0
4.3237e-05,0.00155,0.0015068,172.97,900,4.9032,0
4.3129e-05,0.0015468,0.0015037,173.9,900,4.9297,0
4.302e-05,0.0015437,0.0015006,174.84,900,4.9562,0
4.2911e-05,0.0015405,0.0014976,175.77,900,4.9826,0
4.28e-05,0.0015373,0.0014945,176.7,900,5.0091,0
4.2686e-05,0.0015342,0.0014915,177.64,900,5.0356,0
4.2572e-05,0.001531,0.0014884,178.57,900,5.0621,0
4.2458e-05,0.0015278,0.0014853,179.51,900,5.0886,0
4.2345e-05,0.0015246,0.0014823,180.44,900,5.1151,0
4.2236e-05,0.0015215,0.0014793,181.38,900,5.1415,0
4.2126e-05,0.0015184,0.0014762,182.31,900,5.168,0
4.2017e-05,0.0015152,0.0014732,183.24,900,5.1945,0
4.1908e-05,0.0015121,0.0014702,184.18,900,5.221,0
4.1802e-05,0.001509,0.0014672,185.11,900,5.2475,0
4.1697e-05,0.0015059,0.0014642,186.05,900,5.274,0
4.1591e-05,0.0015029,0.0014613,186.98,900,5.3005,0
4.1485e-05,0.0014998,0.0014583,187.92,900,5.3269,0
4.137e-05,0.0014968,0.0014554,188.85,900,5.3534,0
4.1255e-05,0.0014937,0.0014525,189.78,900,5.3799,0
4.114e-05,0.0014907,0.0014496,190.72,900,5.4064,0
4.1025e-05,0.0014877,0.0014467,191.65,900,5.4329,0
4.0918e-05,0.0014847,0.0014438,192.59,900,5.4594,0
4.0815e-05,0.0014817,0.0014409,193.52,900,5.4858,0
4.0712e-05,0.0014787,0.0014379,194.45,900,5.5123,0
4.061e-05,0.0014756,0.001435,195.39,900,5.5388,0
4.0515e-05,0.0014726,0.0014321,196.32,900,5.5653,0
4.0441e-05,0.0014695,0.001429,197.26,900,5.5918,0
