"tau_wall","y_plus","Points:0","Points:1","Points:2"
4.7132,0.12625,156.34,0.0035789,0
4.7061,0.12625,157.21,0.0035789,0
4.699,0.12625,158.08,0.0035789,0
4.692,0.12625,158.95,0.0035789,0
4.6852,0.12625,159.82,0.0035789,0
4.6784,0.12625,160.69,0.0035789,0
4.6717,0.12625,161.56,0.0035789,0
4.6652,0.12625,162.43,0.0035789,0
4.6588,0.12625,163.3,0.0035789,0
4.6526,0.12625,164.16,0.0035789,0
4.6464,0.12625,165.03,0.0035789,0
4.6404,0.12625,165.9,0.0035789,0
4.6348,0.12625,166.77,0.0035789,0
4.6295,0.12625,167.64,0.0035789,0
4.6247,0.12625,168.51,0.0035789,0
4.6204,0.12625,169.38,0.0035789,0
4.6159,0.12625,170.25,0.0035789,0
4.6112,0.12625,171.12,0.0035789,0
4.6065,0.12625,171.99,0.0035789,0
4.6019,0.12625,172.86,0.0035789,0
4.5975,0.12625,173.73,0.0035789,0
4.5934,0.12625,174.6,0.0035789,0
4.5893,0.12625,175.47,0.0035789,0
4.5851,0.12625,176.34,0.0035789,0
4.581,0.12625,177.21,0.0035789,0
4.5768,0.12625,178.08,0.0035789,0
4.5725,0.12625,178.95,0.0035789,0
4.5686,0.12625,179.82,0.0035789,0
4.5648,0.12625,180.69,0.0035789,0
4.561,0.12625,181.56,0.0035789,0
4.5577,0.12625,182.43,0.0035789,0
4.5542,0.12625,183.3,0.0035789,0
4.5506,0.12625,184.17,0.0035789,0
4.5467,0.12625,185.04,0.0035789,0
4.5428,0.12625,185.91,0.0035789,0
4.5392,0.12625,186.78,0.0035789,0
4.5359,0.12625,187.65,0.0035789,0
4.5329,0.12625,188.52,0.0035789,0
4.5299,0.12625,189.39,0.0035789,0
4.527,0.12625,190.26,0.0035789,0
4.5243,0.12625,191.13,0.0035789,0
4.522,0.12625,192,0.0035789,0
4.5198,0.12625,192.87,0.0035789,0
4.5174,0.12625,193.74,0.0035789,0
4.515,0.12625,194.61,0.0035789,0
4.5128,0.12625,195.48,0.0035789,0
4.5112,0.12625,196.35,0.0035789,0
4.5099,0.12625,197.22,0.0035789,0
4.5089,0.12625,198.09,0.0035789,0
4.5081,0.12625,198.96,0.0035789,0
4.5074,0.12625,199.83,0.0035789,0
4.5066,0.12625,200.7,0.0035789,0
4.5056,0.12625,201.57,0.0035789,0
4.5045,0.12625,202.44,0.0035789,0
4.5033,0.12625,203.31,0.0035789,0
4.5027,0.12625,204.17,0.0035789,0
4.5028,0.12625,205.04,0.0035789,0
4.503,0.12625,205.91,0.0035789,0
4.5031,0.12625,206.78,0.0035789,0
4.5038,0.12625,207.65,0.0035789,0
4.5051,0.12625,208.52,0.0035789,0
4.5074,0.12625,209.39,0.0035789,0
4.5098,0.12625,210.26,0.0035789,0
4.5121,0.12625,211.13,0.0035789,0
4.5141,0.12625,212,0.0035789,0
4.5162,0.12625,212.87,0.0035789,0
4.5189,0.12625,213.74,0.0035789,0
4.5216,0.12625,214.61,0.0035789,0
4.5248,0.12625,215.48,0.0035789,0
4.5285,0.12625,216.35,0.0035789,0
4.5323,0.12625,217.22,0.0035789,0
4.5361,0.12625,218.09,0.0035789,0
4.54,0.12625,218.96,0.0035789,0
4.5444,0.12625,219.83,0.0035789,0
4.5493,0.12625,220.7,0.0035789,0
4.5543,0.12625,221.57,0.0035789,0
4.5588,0.12625,222.44,0.0035789,0
4.563,0.12625,223.31,0.0035789,0
4.5675,0.12625,224.18,0.0035789,0
4.5724,0.12625,225.05,0.0035789,0
4.5776,0.12625,225.92,0.0035789,0
4.583,0.12625,226.79,0.0035789,0
4.589,0.12625,227.66,0.0035789,0
4.5965,0.12625,228.53,0.0035789,0
4.605,0.12625,229.4,0.0035789,0
4.6137,0.12625,230.27,0.0035789,0
4.6219,0.12625,231.14,0.0035789,0
4.6299,0.12625,232.01,0.0035789,0
4.6387,0.12625,232.88,0.0035789,0
4.6485,0.12625,233.75,0.0035789,0
4.6589,0.12625,234.62,0.0035789,0
