"RUU","RUV","RUW","RVV","RVW","RWW","TKE","y_plus","Points:0","Points:1","Points:2"
0.0079286,-0.0017767,1.6188e-05,0.0021264,1.155e-08,0.0038008,0.0069279,47.774,900,1.3543,0
0.0078551,-0.0017764,1.5921e-05,0.0021422,2.2463e-07,0.0037972,0.0068973,48.708,900,1.3808,0
0.0077835,-0.001776,1.5485e-05,0.002157,4.2239e-07,0.0037931,0.0068668,49.643,900,1.4073,0
0.0077139,-0.0017755,1.4929e-05,0.0021711,6.0705e-07,0.0037887,0.0068369,50.577,900,1.4337,0
0.0076464,-0.0017749,1.4263e-05,0.0021845,7.7876e-07,0.003784,0.0068075,51.511,900,1.4602,0
0.007581,-0.0017742,1.3469e-05,0.0021969,9.3146e-07,0.0037791,0.0067785,52.446,900,1.4867,0
0.007517,-0.0017735,1.2631e-05,0.0022087,1.0772e-06,0.0037739,0.0067498,53.38,900,1.5132,0
0.0074543,-0.0017727,1.1759e-05,0.00222,1.2192e-06,0.0037687,0.0067215,54.314,900,1.5397,0
0.0073945,-0.0017719,1.0859e-05,0.0022305,1.3674e-06,0.0037632,0.0066941,55.248,900,1.5662,0
0.0073361,-0.001771,9.9521e-06,0.0022404,1.5362e-06,0.0037576,0.006667,56.183,900,1.5926,0
0.0072789,-0.00177,9.0448e-06,0.0022499,1.722e-06,0.0037518,0.0066403,57.117,900,1.6191,0
0.0072257,-0.001769,8.1581e-06,0.0022587,1.9499e-06,0.0037457,0.006615,58.051,900,1.6456,0
0.0071737,-0.0017679,7.3168e-06,0.002267,2.2034e-06,0.0037394,0.00659,58.985,900,1.6721,0
0.0071227,-0.0017668,6.5106e-06,0.002275,2.4769e-06,0.0037329,0.0065653,59.92,900,1.6986,0
0.0070748,-0.0017656,5.8717e-06,0.0022823,2.7783e-06,0.0037261,0.0065416,60.854,900,1.7251,0
0.0070287,-0.0017645,5.3418e-06,0.0022892,3.0833e-06,0.0037192,0.0065185,61.788,900,1.7515,0
0.0069856,-0.0017633,4.9999e-06,0.0022956,3.3937e-06,0.0037122,0.0064967,62.723,900,1.778,0
0.0069443,-0.0017623,4.9309e-06,0.0023015,3.7042e-06,0.0037051,0.0064754,63.657,900,1.8045,0
0.0069038,-0.0017613,4.9829e-06,0.0023072,4.0149e-06,0.003698,0.0064545,64.591,900,1.831,0
0.0068681,-0.0017604,5.4047e-06,0.0023121,4.3346e-06,0.0036911,0.0064357,65.525,900,1.8575,0
0.0068333,-0.0017597,5.8968e-06,0.0023169,4.664e-06,0.0036843,0.0064172,66.46,900,1.884,0
0.006801,-0.001759,6.5548e-06,0.0023212,5.0163e-06,0.0036776,0.0063999,67.394,900,1.9105,0
0.0067702,-0.0017585,7.2169e-06,0.0023251,5.3985e-06,0.003671,0.0063831,68.328,900,1.9369,0
0.0067406,-0.0017581,7.8824e-06,0.0023288,5.8058e-06,0.0036644,0.0063669,69.262,900,1.9634,0
0.0067131,-0.0017578,8.3914e-06,0.002332,6.2507e-06,0.003658,0.0063516,70.197,900,1.9899,0
0.0066863,-0.0017575,8.848e-06,0.0023351,6.7082e-06,0.0036515,0.0063365,71.131,900,2.0164,0
0.0066598,-0.0017573,8.992e-06,0.0023378,7.186e-06,0.0036452,0.0063214,72.065,900,2.0429,0
0.0066335,-0.0017571,9.0858e-06,0.0023404,7.666e-06,0.0036388,0.0063064,73,900,2.0694,0
0.0066087,-0.0017568,8.7743e-06,0.0023425,8.1506e-06,0.0036325,0.0062919,73.934,900,2.0958,0
0.006584,-0.0017566,8.3871e-06,0.0023446,8.637e-06,0.0036263,0.0062774,74.868,900,2.1223,0
